name,hurdles,highjump,shot,run200m,longjump,javelin,run800m
JoynerKersee(USA),12.69,1.86,15.80,22.56,7.27,45.66,128.51
John(GDR),12.85,1.80,16.23,23.65,6.71,42.56,126.12
Behmer(GDR),13.20,1.83,14.20,23.10,6.68,44.54,124.20
Sablovskaite(URS),13.61,1.80,15.23,23.92,6.25,42.78,132.24
Choubenkova(URS),13.51,1.74,14.76,23.93,6.32,47.46,127.90
Schulz(GDR),13.75,1.83,13.50,24.65,6.33,42.82,125.79
Fleming(AUS),13.38,1.80,12.88,23.59,6.37,40.28,132.54
Greiner(USA),13.55,1.80,14.13,24.48,6.47,38.00,133.65
Lajbnerova(CZE),13.63,1.83,14.28,24.86,6.11,42.20,136.05
Bouraga(URS),13.25,1.77,12.62,23.59,6.28,39.06,134.74
Wijnsma(HOL),13.75,1.86,13.01,25.03,6.34,37.86,131.49
Dimitrova(BUL),13.24,1.80,12.88,23.59,6.37,40.28,132.54
Scheider(SWI),13.85,1.86,11.58,24.87,6.05,47.50,134.93
Braun(FRG),13.71,1.83,13.16,24.78,6.12,44.58,142.82
Ruotsalainen(FIN),13.79,1.80,12.32,24.61,6.08,45.44,137.06
Yuping(CHN),13.93,1.86,14.21,25.00,6.40,38.60,146.67
Hagger(GB),13.47,1.80,12.75,25.47,6.34,35.76,138.48
